"","Species","intercept","intercept_pval","intercept_se","slope","slope_pval","slope_se","seeds_C","seeds_C_se","seeds_D","seeds_D_se","viability_C","viability_C_se","viability_D","viability_D_se","allo_type"
"1","ACAM",0,NA,NA,34.9341448598145,1.37169284877885e-28,1.12661922472175,1.66666666666667,0.232310684145723,0.916666666666667,0.204609577891846,NA,NA,NA,NA,"total.biomass.g"
"2","ANAR",0,NA,NA,74.8125707744642,1.03264918820511e-23,3.29363755966496,12.3411764705882,0.902618807589415,12.3411764705882,0.902618807589415,NA,NA,NA,NA,"total.biomass.g"
"3","AMME",0,NA,NA,36.7011535832646,7.63417549707939e-19,2.23557275200744,2.2,0.161885442680076,2.2,0.188154986249567,NA,NA,NA,NA,"total.biomass.g"
"4","BRHO",0,NA,NA,951.729666331095,8.31264750244374e-34,22.1745076439193,NA,NA,NA,NA,NA,NA,NA,NA,"inflor.g"
"5","BRNI",0,NA,NA,7.9247497747202,2.38062090273078e-14,0.667735435021006,7.48979591836735,0.473857912080617,7.48979591836735,0.473857912080617,NA,NA,NA,NA,"total.biomass.g"
"6","CESO",0,NA,NA,NA,NA,NA,20.15,5.04885343940895,9.3,3.48991026879066,NA,NA,NA,NA,NA
"7","CLPU",0,NA,NA,307.585771427234,6.01565708096527e-33,7.5579837094102,NA,NA,NA,NA,NA,NA,NA,NA,"total.biomass.g"
"8","GITR",0,NA,NA,55.5053882952008,7.244028787346e-21,2.94738528254419,11.640625,0.866675370064601,8.70175438594737,0.541875270577127,NA,NA,NA,NA,"total.biomass.g"
"9","LENI",0,NA,NA,288.39077123663,2.6271226888057e-44,5.06349417437965,2,NA,2,NA,NA,NA,NA,NA,"total.biomass.g"
"10","LOMU",0,NA,NA,192.008603986539,1.65016370299185e-26,7.06320234854006,NA,NA,NA,NA,NA,NA,NA,NA,"total.biomass.g"
"11","MAEL",0,NA,NA,NA,NA,NA,14.64,0.875366589873446,10.6785714285714,0.895393223641608,NA,NA,NA,NA,NA
"12","MICA",0,NA,NA,642.300752330998,6.07508965003387e-35,17.2161967181472,NA,NA,NA,NA,NA,NA,NA,NA,"total.biomass.g"
"13","PLER",0,NA,NA,599.860531925058,9.96582386663446e-30,18.0108992214277,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","PLNO",0,NA,NA,45.9755092880671,2.98008441586542e-19,2.72302876301925,2.9,0.167178700643108,2.075,0.161671953389636,NA,NA,NA,NA,"total.biomass.g"
"15","TACA",0,NA,NA,59.8254928319846,1.84926615420294e-31,1.61226968827898,NA,NA,NA,NA,NA,NA,NA,NA,"total.biomass.g"
"16","THIR",0,NA,NA,104.636615889331,1.3104627350218e-22,4.95064873083535,1,NA,1,NA,0.7427219619,0.0321509886516353,0.7427219619,0.0321509886516353,"total.biomass.g"
"17","TWIL",0,NA,NA,235.991361517292,1.48959176505046e-33,6.42547672213439,1.67647058823529,0.0768142477186676,1.67647058823529,0.0768142477186676,0.546454100216,0.0360705466807671,0.546454100216,0.0360705466807671,"total.biomass.g"
